run,pooling,seed,error_type,graph_id,contract,contract_probability,threshold,contract_label,predicted_label,candidate_interactions,top_wrong_node_id,top_wrong_function,top_wrong_probability,true_positive_rank,failure_category,vulnerability_types
all_scope,mil_max,42,false_positive_contract,FORGE::vfp_00058::BasePositionManager,BasePositionManager,0.6446735769082512,0.52,0,1,1,,,,,label_ambiguity_or_missing_context,
all_scope,mil_max,42,false_positive_contract,FORGE::vfp_00058::LikwidLendPosition,LikwidLendPosition,0.828698556230937,0.52,0,1,6,,,,,label_ambiguity_or_missing_context,
all_scope,mil_max,42,false_positive_contract,FORGE::vfp_00260::Arbitrum_Adapter,Arbitrum_Adapter,0.7178225481996519,0.52,0,1,2,,,,,label_ambiguity_or_missing_context,
all_scope,mil_max,42,false_positive_contract,FORGE::vfp_00126::HubPool,HubPool,0.8528076135980989,0.52,0,1,16,,,,,label_ambiguity_or_missing_context,
all_scope,mil_max,42,false_positive_contract,FORGE::vfp_00126::Arbitrum_Adapter,Arbitrum_Adapter,0.7178225481996519,0.52,0,1,1,,,,,label_ambiguity_or_missing_context,
all_scope,mil_max,42,false_negative_contract,FORGE::vfp_00288::DelegationMetaSwapAdapter,DelegationMetaSwapAdapter,0.3629694811584345,0.52,1,0,1,,,,,missing_safety_features_or_global_context,Front-running / Tx Order (SWC-114)|Front-running / Tx Order (heuristic)|Reentrancy (SWC-107)|Reentrancy (heuristic)
all_scope,mil_max,42,false_positive_contract,DAPP::DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2::TenBankHall,TenBankHall,0.6056798991473954,0.52,0,1,11,,,,,label_ambiguity_or_missing_context,
all_scope,mil_max,42,false_negative_contract,DAPP::DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2::BuybackBooToken,BuybackBooToken,0.3938008530564118,0.52,1,0,1,,,,,missing_safety_features_or_global_context,Front-running / Tx Order (SWC-114)|SWC-114-Transaction Order Dependence
all_scope,mil_max,42,false_positive_contract,DAPP::DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2::BOOPools,BOOPools,0.6671180126594027,0.52,0,1,9,,,,,label_ambiguity_or_missing_context,
all_scope,mil_max,42,false_positive_contract,DAPP::DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2::ActionPools,ActionPools,0.5610556972231453,0.52,0,1,8,,,,,label_ambiguity_or_missing_context,
all_scope,mil_max,42,false_positive_contract,DAPP::DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2::SafeBoxFilDa,SafeBoxFilDa,0.5698170383814337,0.52,0,1,22,,,,,label_ambiguity_or_missing_context,
