run,variant,seed,graph_id,error_type,score,threshold,true_label,protected_reentrancy_like,top_functions
all_scope,gated,42,FORGE::vfp_00058::BasePositionManager,false_positive,0.7687650399724192,0.621,0,0,
all_scope,gated,42,FORGE::vfp_00058::LikwidLendPosition,false_positive,0.856354740834968,0.621,0,0,
all_scope,gated,42,FORGE::vfp_00260::Arbitrum_Adapter,false_positive,0.7799462961477168,0.621,0,0,
all_scope,gated,42,FORGE::vfp_00126::HubPool,false_positive,0.7952179948224735,0.621,0,1,addLiquidity|claimProtocolFeesCaptured|disputeRootBundle|emergencyDeleteProposal|enableL1TokenForLiquidityProvision
all_scope,gated,42,FORGE::vfp_00126::Arbitrum_Adapter,false_positive,0.7958075318451678,0.621,0,0,
all_scope,gated,42,FORGE::vfp_00288::DelegationMetaSwapAdapter,false_negative,0.39512615847845556,0.621,1,1,swapTokens
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2::TenBankHall,false_positive,0.6500360890706678,0.621,0,1,addBox|addStrategy|deposit|depositLPToken|emergencyWithdraw
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2::BuybackBooToken,false_negative,0.5582094738170351,0.621,1,0,
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2::BOOPools,false_positive,0.7282757282233062,0.621,0,1,add|deposit|emergencyWithdraw|withdraw
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/SlowMist-Booster-Protocol_智能安全审计报告/boosterProtocol-946b15629c410d706856584f3aa04001d6a55bd2::StrategyUtils,false_negative,0.2863895919090808,0.621,1,1,checkDepositLimit|checkLiquidationLimit
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/Hacken-Powerbomb-V1/powerbomb-lite-0f86ff1eecdd723be733a9b33ff4ffa3bbdadcee::PowerBombAvaxCurve,false_negative,0.5611359528782265,0.621,1,1,_deposit|withdraw
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/PeckShield-DarkCrypto/darkcrypto-contracts-fee5be8d36459aebed2b84e6493875b3dc0366fd::Boardroom,false_positive,0.639397075925004,0.621,0,1,allocateSeigniorage|claimReward|governanceRecoverUnsupported|initialize|stake
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/PeckShield-DarkCrypto/darkcrypto-contracts-fee5be8d36459aebed2b84e6493875b3dc0366fd::DarkRewardPool,false_positive,0.7735201398847328,0.621,0,1,add|governanceRecoverUnsupported|withdraw
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/PepperSec-Aira-Robonomic/robonomics_contracts-cc35a91de187072214d215262d8371f0159c2498::Ambix,false_positive,0.8050226832353347,0.621,0,1,run
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/PepperSec-Aira-Robonomic/robonomics_contracts-cc35a91de187072214d215262d8371f0159c2498::LiabilityFactory,false_positive,0.626417590541381,0.621,0,1,createLiability|createLighthouse|liabilityFinalized
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/PepperSec-Aira-Robonomic/robonomics_contracts-cc35a91de187072214d215262d8371f0159c2498::LighthouseLib,false_negative,0.48330986920986047,0.621,1,1,refill|withdraw
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/PepperSec-Aira-Robonomic/robonomics_contracts-cc35a91de187072214d215262d8371f0159c2498::DutchAuction,false_positive,0.7819937079055206,0.621,0,1,bid|claimTokens|finalizeAuction|setup
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/BlockSec-blocksec_impossible_finance_swap_v1.2/impossible-swap-core-29aaef89f996acdbee92b67c4d95fb608dc8b876::ImpossibleWrappedToken,false_negative,0.15679167496989654,0.621,1,1,_withdraw
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/Solidified-Aztec Element Bridge/aztec-connect-bridges-ac2e7194b5887ea11a607b4cf8de0547b3d7fdd0::RollupProcessor,false_positive,0.6635587236876701,0.621,0,1,processAsyncDefiInteraction
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/PeckShield-Duet/duet-collateral-contracts-92452dad092d6b5f76713484e30159b5fa75ea80::DYTokenERC20,false_negative,0.28751032570629825,0.621,1,1,withdraw
all_scope,gated,42,DAPP::DAppSCAN-source/contracts/consensys-GrowthDeFi WHEAT/wheat-v1-core-8360ac0a537589bb974e8a5a169bb3e7c95d2857::Exchange,false_negative,0.26818151602413925,0.621,1,0,
